7.439714581810070726e+00,2.369661395815791494e+00,1.546905252259912045e+00,4.112927950338480798e+00,3.994729482076383231e+00,1.946054523947780668e+00,7.303321169273301550e+00,1.756696648926360238e+00
5.029781054842333177e+00,1.200001060274384024e+00,3.983337714699898502e+00,3.509793594594341037e+00,3.366491393093038464e+00,1.990181258177059043e+00,3.095884200178197432e+00,2.034135308014015209e+00
6.123645955110811556e+00,1.226619706219636896e+00,1.762800719311239828e+00,3.638513462290126288e+00,7.038548527787339637e+00,2.706916509177414554e+00,7.328934917059887866e+00,2.168020563573437087e+00
7.385862518261028242e+00,2.329852507868867217e+00,3.920965188590454176e+00,2.791851383167009537e+00,5.801042735315155241e+00,2.988405397089506366e+00,6.947830527610770801e+00,2.517873722758139809e+00
9.499054468783533878e+00,1.121218277955337239e+00,3.419997159977305135e+00,1.954692078114541598e+00,4.231321963889426385e+00,2.902580487634799589e+00,4.396598879946553851e+00,1.830156022015617889e+00
6.527045235492224151e+00,1.921964667019066653e+00,4.059363403628444722e+00,2.944808289034642090e+00,2.806791293786921493e+00,1.585768523105067551e+00,5.838134998752046556e+00,2.212128747800576445e+00
5.807779879405048362e+00,1.617280998136681802e+00,2.341901225137697384e+00,4.319634789409559694e+00,4.082658195786563304e+00,2.668929120535035615e+00,4.938252114062530396e+00,1.881600286396299726e+00
3.916071002363144427e+00,2.295867310024828800e+00,2.194430613134795038e+00,4.170698119719251196e+00,4.224131056405442841e+00,3.438450925378465417e+00,6.476781210879789086e+00,2.475255518926339882e+00
4.131232165387662469e+00,1.488818218416537942e+00,3.109632295539079827e+00,2.600163162007797624e+00,5.713970661068031198e+00,1.356595780623427228e+00,2.680380379013015180e+00,1.635601444155820872e+00
6.803447365690695747e+00,2.325932057135839504e+00,1.871311192449131022e+00,1.764521160086913731e+00,5.576697503455791072e+00,3.631951756823409649e+00,4.213541060593737342e+00,2.172723114615280338e+00
9.258125132836299898e+00,2.715658009031085562e+00,3.930176591567407396e+00,2.008045860037189545e+00,4.398394079935883383e+00,2.188800889821691520e+00,3.261058684589390744e+00,2.084776431418549070e+00
9.493075105827466942e+00,1.313958851976007924e+00,3.174212897879461703e+00,2.440479584475088171e+00,5.116145601988451475e+00,2.335814042422935444e+00,3.546171189466098106e+00,1.542796835333013927e+00
9.617945190128693866e+00,1.159040438840146292e+00,2.547237176894794786e+00,3.721434813973173661e+00,3.347650348242197538e+00,2.128610512726380133e+00,3.377085505034618684e+00,1.923417655136802296e+00
